"groupId","groupName","outfitKey","topId","topName","topPrice","bottomId","bottomName","bottomPrice","priceTotal","topUrl","bottomUrl"
"15843731","Beneventi's","chicago","119912444549035","[Emporio Armani] Chicago, Upper","10","92136021817258","[Emporio Armani] Chicago, Lower","7","17","https://www.roblox.com/catalog/119912444549035","https://www.roblox.com/catalog/92136021817258"
"15843731","Beneventi's","big guy in town","17303493752","[Emporio Armani] Big Guy in Town, Upper","10","17303500634","[Emporio Armani] Big Guy in Town, Lower","7","17","https://www.roblox.com/catalog/17303493752","https://www.roblox.com/catalog/17303500634"
"15843731","Beneventi's","scarpitti","100598027722069","[Emporio Armani] Scarpitti, Upper","10","82459096812810","[Emporio Armani] Scarpitti, Lower","7","17","https://www.roblox.com/catalog/100598027722069","https://www.roblox.com/catalog/82459096812810"
"15843731","Beneventi's","the legend","16983273059","[Emporio Armani] The Legend, Upper","10","16983281760","[Emporio Armani] The Legend, Lower","7","17","https://www.roblox.com/catalog/16983273059","https://www.roblox.com/catalog/16983281760"
"15843731","Beneventi's","the yakuza","127257377255612","[B] The Yakuza, Upper","10","119286603941978","[B] The Yakuza, Lower","7","17","https://www.roblox.com/catalog/127257377255612","https://www.roblox.com/catalog/119286603941978"
"15843731","Beneventi's","tomasino","17614150121","[Emporio Armani] Tomasino Waistcoat, Upper","10","17614155884","[Emporio Armani] Tomasino Waistcoat, Lower","7","17","https://www.roblox.com/catalog/17614150121","https://www.roblox.com/catalog/17614155884"
"15843731","Beneventi's","sera","83517616005532","[Emporio Armani] Sera, Upper","10","106540516224074","[Emporio Armani] Sera, Lower","7","17","https://www.roblox.com/catalog/83517616005532","https://www.roblox.com/catalog/106540516224074"
"15843731","Beneventi's","the storm","76759072250668","[Emporio Armani] The Storm, Upper","10","123390858490308","[Emporio Armani] The Storm, Lower","7","17","https://www.roblox.com/catalog/76759072250668","https://www.roblox.com/catalog/123390858490308"
"15843731","Beneventi's","il maestro","17614350195","[Emporio Armani] il Maestro, Upper","10","17614355684","[Emporio Armani] il Maestro, Lower","7","17","https://www.roblox.com/catalog/17614350195","https://www.roblox.com/catalog/17614355684"
"15843731","Beneventi's","blue pinstripe db suit","17613921798","[Emporio Armani] Blue Pinstripe DB Suit, Upper","10","17613928783","[Emporio Armani] Blue Pinstripe DB Suit, Lower","7","17","https://www.roblox.com/catalog/17613921798","https://www.roblox.com/catalog/17613928783"
"15843731","Beneventi's","freddie","71245978274387","[B] Freddie, Upper","10","104925148834914","[B] Freddie, Lower","7","17","https://www.roblox.com/catalog/71245978274387","https://www.roblox.com/catalog/104925148834914"
"15843731","Beneventi's","the irish w bowtie","126907930589207","[B] The Irish w/ bowtie, Upper","10","92549301269694","[B] The Irish w/ bowtie, Lower","7","17","https://www.roblox.com/catalog/126907930589207","https://www.roblox.com/catalog/92549301269694"
"15843731","Beneventi's","the skipper","17103689467","[Emporio Armani] The Skipper, Upper","10","17103694249","[Emporio Armani] The Skipper, Lower","7","17","https://www.roblox.com/catalog/17103689467","https://www.roblox.com/catalog/17103694249"
