"gender","groupName","outfitKey","topId","topName","bottomId","bottomName","priceTotal","thumbnailUrl","color1","color2","color3","topUrl","bottomUrl"
"unclassified","Style Abby","sa ww1 two button cutaway english sack","8262776100","SA │ WW1 Two Button Cutaway English Sack (Tan)","8262760387","SA │ WW1 Two Button Cutaway English Sack (Tan)","14","https://tr.rbxcdn.com/180DAY-8220a394262a5c3b0bbf451c58321cf6/420/420/Shirt/Png/noFilter","#AAA9A5","#77513F","#86807D","https://www.roblox.com/catalog/8262776100","https://www.roblox.com/catalog/8262760387"
"unclassified","Style Abby","sa ww1 two button cutaway english sack","8262766677","SA │ WW1 Two Button Cutaway English Sack (Brown)","8262714973","SA │ WW1 Two Button Cutaway English Sack (Black)","14","https://tr.rbxcdn.com/180DAY-179b677cf8c00dfc0934dac745294b8e/420/420/Shirt/Png/noFilter","#ABAAA6","#3E2620","#84827F","https://www.roblox.com/catalog/8262766677","https://www.roblox.com/catalog/8262714973"
"unclassified","Style Abby","sa ww1 two button cutaway english sack","8262766677","SA │ WW1 Two Button Cutaway English Sack (Brown)","8262716676","SA │ WW1 Two Button Cutaway English Sack (Brown)","14","https://tr.rbxcdn.com/180DAY-179b677cf8c00dfc0934dac745294b8e/420/420/Shirt/Png/noFilter","#ABAAA6","#3E2620","#84827F","https://www.roblox.com/catalog/8262766677","https://www.roblox.com/catalog/8262716676"
"unclassified","Style Abby","sa ww1 two button cutaway english sack","8262766677","SA │ WW1 Two Button Cutaway English Sack (Brown)","8262753176","SA │ WW1 Two Button Cutaway English Sack (Navy)","14","https://tr.rbxcdn.com/180DAY-179b677cf8c00dfc0934dac745294b8e/420/420/Shirt/Png/noFilter","#ABAAA6","#3E2620","#84827F","https://www.roblox.com/catalog/8262766677","https://www.roblox.com/catalog/8262753176"
"unclassified","Style Abby","sa ww1 two button cutaway english sack","8262766677","SA │ WW1 Two Button Cutaway English Sack (Brown)","8262755073","SA │ WW1 Two Button Cutaway English Sack (Silver)","14","https://tr.rbxcdn.com/180DAY-179b677cf8c00dfc0934dac745294b8e/420/420/Shirt/Png/noFilter","#ABAAA6","#3E2620","#84827F","https://www.roblox.com/catalog/8262766677","https://www.roblox.com/catalog/8262755073"
"unclassified","Style Abby","sa ww1 two button cutaway english sack","8262766677","SA │ WW1 Two Button Cutaway English Sack (Brown)","8262760387","SA │ WW1 Two Button Cutaway English Sack (Tan)","14","https://tr.rbxcdn.com/180DAY-179b677cf8c00dfc0934dac745294b8e/420/420/Shirt/Png/noFilter","#ABAAA6","#3E2620","#84827F","https://www.roblox.com/catalog/8262766677","https://www.roblox.com/catalog/8262760387"
"unclassified","Style Abby","1960s low waist hot pink dress","929439927","1960s Low-Waist Hot Pink Dress Top","929439784","1960s Low-Waist Hot Pink Dress","26","https://tr.rbxcdn.com/180DAY-26a59711e4e0fda51b35cdda38c6c40f/420/420/Shirt/Png/noFilter","#ABAAA6","#955460","#888482","https://www.roblox.com/catalog/929439927","https://www.roblox.com/catalog/929439784"
"unclassified","Style Abby","1930s tweed black","1284309350","1930s Tweed Black Coat Top","1284309185","1930s Tweed Black Coat","20","https://tr.rbxcdn.com/180DAY-0c9fe1abc74504005b9f2bdbea00c76f/420/420/Shirt/Png/noFilter","#ABAAA6","#191919","#838380","https://www.roblox.com/catalog/1284309350","https://www.roblox.com/catalog/1284309185"
"unclassified","Style Abby","1900s ash day","2878829213","1900s Ash Day Coat [T]","2878829667","1900s Ash Day Coat [B]","16","https://tr.rbxcdn.com/180DAY-adedd7e07f7491f315cd6fdbf3aac53d/420/420/Shirt/Png/noFilter","#232323","#A6A6A3","#82827F","https://www.roblox.com/catalog/2878829213","https://www.roblox.com/catalog/2878829667"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323603290","SA | 60's Chiffon Party Dress (Baby Blue)","11323556106","SA | 60's Chiffon Party Dress (Noir)","14","https://tr.rbxcdn.com/180DAY-b6364f83cce651052f4e0c59e86b4554/420/420/Shirt/Png/noFilter","#ABAAA6","#777F83","#CACECC","https://www.roblox.com/catalog/11323603290","https://www.roblox.com/catalog/11323556106"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323603290","SA | 60's Chiffon Party Dress (Baby Blue)","11323562249","SA | 60's Chiffon Party Dress (Tangerine)","14","https://tr.rbxcdn.com/180DAY-b6364f83cce651052f4e0c59e86b4554/420/420/Shirt/Png/noFilter","#ABAAA6","#777F83","#CACECC","https://www.roblox.com/catalog/11323603290","https://www.roblox.com/catalog/11323562249"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323603290","SA | 60's Chiffon Party Dress (Baby Blue)","11323571173","SA | 60's Chiffon Party Dress (Almond Green)","14","https://tr.rbxcdn.com/180DAY-b6364f83cce651052f4e0c59e86b4554/420/420/Shirt/Png/noFilter","#ABAAA6","#777F83","#CACECC","https://www.roblox.com/catalog/11323603290","https://www.roblox.com/catalog/11323571173"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323603290","SA | 60's Chiffon Party Dress (Baby Blue)","11323557282","SA | 60's Chiffon Party Dress (Baby Blue)","14","https://tr.rbxcdn.com/180DAY-b6364f83cce651052f4e0c59e86b4554/420/420/Shirt/Png/noFilter","#ABAAA6","#777F83","#CACECC","https://www.roblox.com/catalog/11323603290","https://www.roblox.com/catalog/11323557282"
