"id","thumbnailUrl","color1","color1Cov","color2","color2Cov","color3","color3Cov","error","source"
"126705232","https://tr.rbxcdn.com/180DAY-1d5e6d4dfc681ef2888f310e8f1a4f72/420/420/Shirt/Png/noFilter","#282828","0.5403","#4C4C4C","0.2349","#858482","0.1812",,"roblox-cdn-thumbnail"
"126705321","https://tr.rbxcdn.com/180DAY-bce1ea2fd8ed9b4da9ed4cf9ad8e2226/420/420/Shirt/Png/noFilter","#114344","0.4698","#454949","0.302","#818482","0.193",,"roblox-cdn-thumbnail"
"126761360","https://tr.rbxcdn.com/180DAY-e3058c2b5fd556047bd7515dea865437/420/420/Shirt/Png/noFilter","#73675D","0.7921","#8F8983","0.1461","#55493F","0.0487",,"roblox-cdn-thumbnail"
"126778205","https://tr.rbxcdn.com/180DAY-fe3b443b662bce63a73aa8f14060f250/420/420/Shirt/Png/noFilter","#291D4E","0.5677","#7D7A83","0.2523","#4E456A","0.1224",,"roblox-cdn-thumbnail"
"126783510","https://tr.rbxcdn.com/180DAY-ac3b69701529466c7fa18c370ecf2cac/420/420/Shirt/Png/noFilter","#4072A2","0.5288","#828484","0.266","#E9E7E4","0.0929",,"roblox-cdn-thumbnail"
"126786011","https://tr.rbxcdn.com/180DAY-c4fada115ce48d095b94c3963e8f0ebb/420/420/Shirt/Png/noFilter","#461810","0.4556","#484646","0.3166","#858381","0.1859",,"roblox-cdn-thumbnail"
"126787659","https://tr.rbxcdn.com/180DAY-f535ec455645976077428d560202f124/420/420/Shirt/Png/noFilter","#441010","0.8079","#83827F","0.1291","#5A413F","0.0331",,"roblox-cdn-thumbnail"
"126790185","https://tr.rbxcdn.com/180DAY-def5ba10670289aa57d74c63fdd9d96c/420/420/Shirt/Png/noFilter","#7F7F7E","0.7759","#524E4C","0.1008","#452B1A","0.0952",,"roblox-cdn-thumbnail"
"126902020","https://tr.rbxcdn.com/180DAY-907c786b1c7c5c2a1f3d89fdc3cdd62d/420/420/Shirt/Png/noFilter","#827978","0.3761","#674749","0.2893","#4D2426","0.2116",,"roblox-cdn-thumbnail"
"127009620","https://tr.rbxcdn.com/180DAY-fabb733483622b816188b1ecbe57d67c/420/420/Pants/Png/noFilter","#3E3624","0.4948","#84827F","0.2612","#E8E7E2","0.1168",,"roblox-cdn-thumbnail"
"127276963","https://tr.rbxcdn.com/180DAY-f7b15fcf354f183ebeb371fa93aead03/420/420/Pants/Png/noFilter","#1B1B1B","0.5856","#848481","0.2534","#E8E7E2","0.1164",,"roblox-cdn-thumbnail"
"127339151","https://tr.rbxcdn.com/180DAY-bc9622d192a08f7a5bd9bfaaecc30304/420/420/Pants/Png/noFilter","#B97F59","0.4159","#888580","0.2453","#2E3C51","0.1799",,"roblox-cdn-thumbnail"
"127917277","https://tr.rbxcdn.com/180DAY-e2207b32ac47202ba540a0488c29a7d9/420/420/Pants/Png/noFilter","#101010","0.5904","#848481","0.256","#E8E7E2","0.116",,"roblox-cdn-thumbnail"
"127988681","https://tr.rbxcdn.com/180DAY-8c51a6c8015a1afb4796d50b8a533caf/420/420/Shirt/Png/noFilter","#161616","0.8097","#838280","0.1211","#3F403E","0.0362",,"roblox-cdn-thumbnail"
"127988726","https://tr.rbxcdn.com/180DAY-30cc1618c1d1eaef1517a97ac5c23ca9/420/420/Pants/Png/noFilter","#353535","0.4898","#858481","0.2585","#E8E7E2","0.1156",,"roblox-cdn-thumbnail"
"128214596","https://tr.rbxcdn.com/180DAY-999e58beba5223860daae67ad26f92ad/420/420/Shirt/Png/noFilter","#11517D","0.512","#818281","0.2695","#455968","0.0988",,"roblox-cdn-thumbnail"
"128250336","https://tr.rbxcdn.com/180DAY-546f1ae01b68c2078573b8e9b93467b0/420/420/Shirt/Png/noFilter","#868684","0.7733","#EAE8E4","0.157","#5F5F5E","0.0698",,"roblox-cdn-thumbnail"
"128282906","https://tr.rbxcdn.com/180DAY-173a8139449761b3bfdd4d61b96b1183/420/420/Shirt/Png/noFilter","#242424","0.8055","#83827F","0.1179","#4F4D4C","0.049",,"roblox-cdn-thumbnail"
"128305412","https://tr.rbxcdn.com/180DAY-e6fd655ae6caf3f44c8ae6e0fd9787e3/420/420/Shirt/Png/noFilter","#B10E0E","0.6767","#840C0C","0.1338","#838380","0.1098",,"roblox-cdn-thumbnail"
"128464553","https://tr.rbxcdn.com/180DAY-84f983eaf3c04600d3d6b5d5b19d2cee/420/420/Shirt/Png/noFilter","#1F681F","0.5386","#174516","0.216","#80837D","0.125",,"roblox-cdn-thumbnail"
"128464782","https://tr.rbxcdn.com/180DAY-2d65b0809c99a900fac92eae034166aa/420/420/Pants/Png/noFilter","#50300B","0.4364","#848480","0.2509","#E8E7E2","0.1168",,"roblox-cdn-thumbnail"
"128505797","https://tr.rbxcdn.com/180DAY-2a2a90f1e6c75195d627aed158b469eb/420/420/Shirt/Png/noFilter","#151515","0.8118","#838380","0.1182","#403F3E","0.0342",,"roblox-cdn-thumbnail"
"128505951","https://tr.rbxcdn.com/180DAY-797efb4fc4947bf9f3e8b1e7dc7946be/420/420/Pants/Png/noFilter","#121212","0.5884","#858481","0.2585","#E8E7E2","0.1156",,"roblox-cdn-thumbnail"
"128633642","https://tr.rbxcdn.com/180DAY-97476a07f770cc85fe1c8b2dbd3d2b4b/420/420/Pants/Png/noFilter","#838381","0.4053","#EAE9E6","0.1542","#B50F9D","0.1498",,"roblox-cdn-thumbnail"
"128650754","https://tr.rbxcdn.com/180DAY-e05465a8fff121e3e823a53e35ed2768/420/420/Pants/Png/noFilter","#777675","0.564","#4E4E4E","0.2076","#E8E7E2","0.1176",,"roblox-cdn-thumbnail"
"128658844","https://tr.rbxcdn.com/180DAY-35a75caf37b32f56ef8fed77de3d05fc/420/420/Shirt/Png/noFilter","#5B140D","0.7102","#848380","0.214","#695A58","0.0395",,"roblox-cdn-thumbnail"
"128676312","https://tr.rbxcdn.com/180DAY-74ce2303a12103905441e041ea6cfcba/420/420/Pants/Png/noFilter","#2A8C0A","0.2838","#858481","0.2297","#0D8787","0.1858",,"roblox-cdn-thumbnail"
"128691843","https://tr.rbxcdn.com/180DAY-8eee9f2216d78a0838c12c3aed138b5a/420/420/Shirt/Png/noFilter","#151515","0.5402","#848482","0.3161","#656564","0.0575",,"roblox-cdn-thumbnail"
"128727984","https://tr.rbxcdn.com/180DAY-2b7029ab234d01243b328856b31580ef/420/420/Pants/Png/noFilter","#828280","0.4175","#5F5F60","0.2491","#404041","0.1404",,"roblox-cdn-thumbnail"
"128749109","https://tr.rbxcdn.com/180DAY-293af53fd2b8fb926cf2cb76a72d7dab/420/420/Pants/Png/noFilter","#1D1D1D","0.5918","#858481","0.2585","#E8E7E2","0.1156",,"roblox-cdn-thumbnail"
"128774223","https://tr.rbxcdn.com/180DAY-88054bfbbdbed3337e1d80bf185b13a0/420/420/Shirt/Png/noFilter","#127D20","0.6648","#818D81","0.1959","#3E7B46","0.049",,"roblox-cdn-thumbnail"
"128810711","https://tr.rbxcdn.com/180DAY-bb30aef365b4fbc33c6e88215e58a6ff/420/420/Shirt/Png/noFilter","#1E244F","0.7813","#818180","0.1176","#313974","0.0437",,"roblox-cdn-thumbnail"
"128860162","https://tr.rbxcdn.com/180DAY-c236254873d17f628e6e729648cef597/420/420/Pants/Png/noFilter","#354047","0.512","#858481","0.2509","#E8E7E2","0.1168",,"roblox-cdn-thumbnail"
"128918687","https://tr.rbxcdn.com/180DAY-86bfd060c9de4cc56b51d1dab411a5cc/420/420/Shirt/Png/noFilter","#575410","0.7082","#84837D","0.1732","#727033","0.072",,"roblox-cdn-thumbnail"
"128954726","https://tr.rbxcdn.com/180DAY-fca6ac0babc547ff122f49d29ba9a11c/420/420/Pants/Png/noFilter","#5E5D5A","0.3064","#94B1B4","0.3039","#818785","0.2917",,"roblox-cdn-thumbnail"
"128977671","https://tr.rbxcdn.com/180DAY-c9245b7c079717ec53f075ff0f667b7f/420/420/Shirt/Png/noFilter","#202020","0.7726","#848380","0.1408","#4B4B49","0.0487",,"roblox-cdn-thumbnail"
"128977695","https://tr.rbxcdn.com/180DAY-24a8c4411f8ad77cc8079c52f52f567b/420/420/Shirt/Png/noFilter","#4C2922","0.6835","#85807E","0.1718","#515252","0.132",,"roblox-cdn-thumbnail"
"128977709","https://tr.rbxcdn.com/180DAY-b794a2d65201de12186f29e808a25676/420/420/Shirt/Png/noFilter","#434D24","0.7107","#82817D","0.1664","#504F55","0.0723",,"roblox-cdn-thumbnail"
"128977732","https://tr.rbxcdn.com/180DAY-c795031af76f98506ef10b6b0c0694b8/420/420/Shirt/Png/noFilter","#4C3B22","0.6799","#84827D","0.17","#515053","0.1284",,"roblox-cdn-thumbnail"
"128977754","https://tr.rbxcdn.com/180DAY-6e5f7c2e44f8b1331736573c987ba74c/420/420/Shirt/Png/noFilter","#21244C","0.6873","#818280","0.1636","#504F4F","0.1236",,"roblox-cdn-thumbnail"
"128977762","https://tr.rbxcdn.com/180DAY-25300eb2f31164b42eeca0bdbb126eed/420/420/Shirt/Png/noFilter","#4B254D","0.7132","#838080","0.167","#4E564E","0.069",,"roblox-cdn-thumbnail"
